RefId,IsBadBuy
73015,1
73016,0
73017,0
73018,1
73019,1
73020,1
73021,0
73022,1
73023,0
73024,0
73025,1
73026,0
73027,0
73028,1
73029,1
73030,0
73031,0
73032,1
73033,1
73034,0
73035,0
73036,1
73037,0
73038,1
73039,1
73040,0
73041,1
73042,0
73043,1
73044,0
73045,0
73046,0
73047,1
73048,1
73049,0
73050,0
73051,0
73052,0
73053,1
73054,1
73055,1
73056,1
73057,0
73058,1
73059,0
73060,1
73061,0
73062,1
73063,1
73064,0
73065,0
73066,0
73067,0
73068,0
73069,0
73070,0
73071,0
73072,0
73073,1
73074,0
73075,1
73076,1
73077,0
73078,0
73079,0
73080,0
73081,1
73082,0
73083,0
73084,0
73085,0
73086,1
73087,0
73088,1
73089,0
73090,0
73091,0
73092,0
73093,0
73094,0
73095,1
73096,0
73097,1
73098,1
73099,0
73100,0
73101,0
73102,0
73103,1
73104,0
73105,1
73106,1
73107,1
73108,1
73109,1
73110,1
73111,0
73112,1
73113,1
73114,0
73115,0
73116,0
73117,0
73118,0
73119,0
73120,1
73121,0
73122,1
73123,0
73124,1
73125,0
73126,1
73127,0
73128,0
73129,1
73130,0
73131,1
73132,0
73133,0
73134,1
73135,0
73136,0
73137,0
73138,1
73139,0
73140,1
73141,1
73142,1
73143,1
73144,1
73145,0
73146,1
73147,0
73148,1
73149,0
73150,1
73151,1
73152,0
73153,0
73154,1
73155,0
73156,0
73157,0
73158,1
73159,1
73160,0
73161,1
73162,1
73163,1
73164,1
73165,1
73166,0
73167,1
73168,0
73169,1
73170,1
73171,0
73172,1
73173,1
73174,1
73175,1
73176,0
73177,0
73178,0
73179,0
73180,1
73181,1
73182,0
73183,0
73184,0
73185,1
73186,0
73187,0
73188,0
73189,1
73190,1
73191,1
73192,0
73193,0
73194,1
73195,0
73196,0
73197,0
73198,0
73199,0
73200,0
73201,1
73202,0
73203,0
73204,0
73205,0
73206,0
73207,0
73208,0
73209,1
73210,1
73211,0
73212,0
73213,0
73214,1
73215,1
73216,0
73217,0
73218,0
73219,1
73220,0
73221,1
73222,1
73223,0
73224,0
73225,0
73226,1
73227,0
73228,1
73229,0
73230,1
73231,0
73232,0
73233,0
73234,1
73235,0
73236,0
73237,1
73238,0
73239,0
73240,0
73241,0
73242,1
73243,1
73244,0
73245,0
73246,1
73247,1
73248,0
73249,0
73250,0
73251,0
73252,1
73253,0
73254,0
73255,0
73256,1
73257,1
73258,1
73259,1
73260,1
73261,0
73262,0
73263,1
73264,0
73265,1
73266,0
73267,0
73268,0
73269,0
73270,1
73271,0
73272,0
73273,0
73274,1
73275,0
73276,0
73277,0
73278,0
73279,1
73280,1
73281,0
73282,1
73283,1
73284,1
73285,1
73286,1
73287,1
73288,1
73289,0
73290,1
73291,1
73292,0
73293,1
73294,1
73295,0
73296,1
73297,1
73298,0
73299,1
73300,0
73301,0
73302,0
73303,1
73304,0
73305,0
73306,1
73307,0
73308,0
73309,1
73310,1
73311,0
73312,1
73313,0
73314,1
73315,0
73316,1
73317,0
73318,1
73319,1
73320,1
73321,0
73322,0
73323,1
73324,0
73325,1
73326,0
73327,0
73328,0
73329,0
73330,1
73331,1
73332,0
73333,1
73334,1
73335,0
73336,1
73337,0
73338,0
73339,0
73340,0
73341,1
73342,1
73343,0
73344,0
73345,1
73346,0
73347,1
73348,1
73349,0
73350,0
73351,1
73352,0
73353,0
73354,0
73355,0
73356,1
73357,0
73358,0
73359,0
73360,1
73361,1
73362,1
73363,1
73364,1
73365,0
73366,1
73367,0
73368,1
73369,0
73370,0
73371,1
73372,1
73373,0
73374,0
73375,0
73376,1
73377,1
73378,1
73379,0
73380,1
73381,1
73382,1
73383,1
73384,1
73385,1
73386,1
73387,0
73388,0
73389,1
73390,1
73391,0
73392,1
73393,0
73394,1
73395,1
73396,1
73397,0
73398,0
73399,0
73400,1
73401,1
73402,1
73403,1
73404,1
73405,1
73406,0
73407,0
73408,0
73409,1
73410,0
73411,1
73412,1
73413,0
73414,0
73415,0
73416,0
73417,1
73418,1
73419,1
73420,0
73421,1
73422,1
73423,0
73424,1
73425,1
73426,1
73427,1
73428,0
73429,1
73430,1
73431,1
73432,0
73433,1
73434,0
73435,1
73436,1
73437,0
73438,0
73439,0
73440,0
73441,0
73442,0
73443,1
73444,0
73445,1
73446,1
73447,0
73448,1
73449,0
73450,0
73451,1
73452,0
73453,0
73454,1
73455,0
73456,0
73457,1
73458,0
73459,0
73460,1
73461,1
73462,1
73463,0
73464,1
73465,0
73466,1
73467,0
73468,0
73469,1
73470,1
73471,0
73472,0
73473,1
73474,1
73475,0
73476,0
73477,0
73478,0
73479,0
73480,1
73481,1
73482,0
73483,1
73484,1
73485,0
73486,1
73487,0
73488,0
73489,1
73490,0
73491,1
73492,0
73493,1
73494,1
73495,0
73496,1
73497,0
73498,0
73499,1
73500,0
73501,1
73502,1
73503,1
73504,0
73505,0
73506,1
73507,1
73508,0
73509,1
73510,1
73511,1
73512,0
73513,0
73514,0
73515,0
73516,0
73517,0
73518,0
73519,0
73520,1
73521,1
73522,1
73523,0
73524,0
73525,0
73526,0
73527,0
73528,0
73529,0
73530,1
73531,1
73532,1
73533,1
73534,0
73535,1
73536,1
73537,0
73538,0
73539,1
73540,1
73541,1
73542,0
73543,0
73544,1
73545,1
73546,0
73547,0
73548,1
73549,1
73550,1
73551,1
73552,1
73553,1
73554,1
73555,0
73556,1
73557,0
73558,0
73559,0
73560,1
73561,1
73562,0
73563,1
73564,0
73565,0
73566,0
73567,0
73568,0
73569,0
73570,0
73571,0
73572,1
73573,0
73574,0
73575,1
73576,0
73577,1
73578,1
73579,0
73580,1
73581,0
73582,1
73583,1
73584,1
73585,0
73586,0
73587,1
73588,1
73589,1
73590,1
73591,1
73592,0
73593,0
73594,1
73595,1
73596,1
73597,1
73598,0
73599,1
73600,0
73601,0
73602,0
73603,0
73604,0
73605,0
73606,1
73607,0
73608,1
73609,1
73610,1
73611,1
73612,1
73613,1
73614,1
73615,1
73616,0
73617,1
73618,1
73619,1
73620,1
73621,0
73622,0
73623,1
73624,1
73625,1
73626,1
